Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
77000,7.093994,0.0031738281,-1683.3215,2.3422337,1,5.2992406,-1685.6638,-1680.9792,-1683.0724
77500,7.099365,0.0068359375,-1683.1631,2.0328176,1.0000001,3.865577,-1685.1959,-1681.1302,-1683.039
78000,5.9313965,0.0014648438,-1683.2446,2.1341696,1.0000001,3.721642,-1685.3788,-1681.1105,-1683.0884
78500,7.046875,0.026367188,-1683.3167,2.2927768,1.0000001,5.502641,-1685.6094,-1681.0239,-1683.238
79000,6.7734375,0.0126953125,-1683.2649,1.9854443,1,4.7300305,-1685.2504,-1681.2794,-1683.0836
79500,6.748291,0.009277344,-1683.2761,2.2349746,1.0000001,5.2753377,-1685.5111,-1681.0411,-1683.1971
80000,6.3291016,0.0063476562,-1683.29,2.1227357,0.9999999,4.480027,-1685.4127,-1681.1674,-1683.2227
80500,7.7369385,0.00036621094,-1683.1466,2.1226258,1.0000001,9.537183,-1685.2693,-1681.0239,-1683.0542
81000,7.4405518,0.007446289,-1683.2587,2.2284024,1,6.736059,-1685.487,-1681.0303,-1683.1367
81500,6.1766357,0.0057373047,-1683.2765,2.107851,0.9999999,3.6255786,-1685.3844,-1681.1686,-1683.1321
82000,7.264282,0.020385742,-1683.1859,2.3515987,0.99999994,5.698636,-1685.5375,-1680.8344,-1683.1028
82500,8.894043,0.005126953,-1682.9678,2.320359,1.0000001,9.775306,-1685.2881,-1680.6475,-1682.8895
83000,5.63562,0.0040283203,-1683.3766,2.0850081,1,3.2519197,-1685.4615,-1681.2916,-1683.2607
83500,7.0218506,0.0040283203,-1683.4005,2.2933338,1,5.9374866,-1685.6938,-1681.1072,-1683.2362
84000,6.3062744,0.022094727,-1683.371,1.9887888,1,4.7289615,-1685.3597,-1681.3822,-1683.2065
84500,7.01355,0.004272461,-1683.2548,2.1503313,1.0000001,6.3779907,-1685.4052,-1681.1044,-1683.1107
85000,5.8428955,0.013549805,-1683.3732,2.064889,1,2.9510608,-1685.4381,-1681.3082,-1683.0544
85500,6.090088,0.0053710938,-1683.2905,2.0526748,0.99999994,4.527726,-1685.3433,-1681.2378,-1682.9529
86000,7.5686035,0.005126953,-1682.8953,2.0574117,0.99999994,2.2871644,-1684.9526,-1680.8379,-1682.7694
86500,6.380615,0.023925781,-1683.3247,2.0527475,1,3.1024573,-1685.3774,-1681.272,-1683.1394
87000,6.5531006,0.012573242,-1683.2194,2.2069626,1,2.9328935,-1685.4263,-1681.0125,-1683.1294
87500,9.436768,0.013183594,-1683.2175,2.2906847,0.9999999,6.6390285,-1685.5082,-1680.9269,-1683.032
88000,6.3845215,0.0075683594,-1683.386,2.2513037,0.9999998,3.450003,-1685.6373,-1681.1346,-1683.2468
88500,5.4849854,0.00036621094,-1683.2323,1.954654,0.99999994,2.979237,-1685.187,-1681.2776,-1683.1326
89000,5.3320312,0.01953125,-1683.3833,2.1201012,1.0000001,2.8880486,-1685.5034,-1681.2632,-1683.273
89500,6.225586,0.012451172,-1683.188,2.2098808,1,3.9265802,-1685.3978,-1680.9781,-1683.0176
90000,7.1569824,0.009765625,-1683.3845,2.1505997,1,6.9302554,-1685.5352,-1681.2339,-1683.2756
